id,fingerprint,brand_name,product_name,quantity,category
2683,"veeba|veeba chef s special tomato ketchup|900g",veeba,veeba chef s special tomato ketchup,900g,
2684,"maggi|maggi hot sweet tomato chilli sauce 200 g|200g",maggi,maggi hot sweet tomato chilli sauce 200 g,200g,
2685,"american garden|american garden baked beans in tomato sauce|420g",american garden,american garden baked beans in tomato sauce,420g,
2686,"maggi|maggi rich tomato ketchup 960 g|960g",maggi,maggi rich tomato ketchup 960 g,960g,
2687,"tops|tops tomato ketchup|850g",tops,tops tomato ketchup,850g,
2688,"veeba|veeba herby tomato pizza pasta sauce|525g",veeba,veeba herby tomato pizza pasta sauce,525g,
2689,"del monte|del monte tomato ketchup|900g",del monte,del monte tomato ketchup,900g,
2690,"kissan|kissan sweet spicy tomato ketchup|415g",kissan,kissan sweet spicy tomato ketchup,415g,
2691,"smart cook|smart cook tomato puree|200g",smart cook,smart cook tomato puree,200g,
2692,"troovy|troovy healthy tomato ketchup no chemicals|340g",troovy,troovy healthy tomato ketchup no chemicals,340g,
2693,"curryit|curryit tomato puree preservative free|100g",curryit,curryit tomato puree preservative free,100g,
2694,"saucery|saucery sundried tomato pesto|200g",saucery,saucery sundried tomato pesto,200g,
2695,"veeba|veeba chef s special hot sweet tomato chilli sauce|450g",veeba,veeba chef s special hot sweet tomato chilli sauce,450g,
2696,"abbie's|abbie s baked beans in tomato sauce|400g",abbie's,abbie s baked beans in tomato sauce,400g,
2697,"the gourmet jar|gourmet fresh tomato salsa|190g",the gourmet jar,gourmet fresh tomato salsa,190g,
2698,"homemade love|homemade love tomato thokku pickle|250g",homemade love,homemade love tomato thokku pickle,250g,
2699,"royal grove|royal grove tomato puree|825g",royal grove,royal grove tomato puree,825g,
2700,"veeba|veeba tomato ketchup no added sugar|460g",veeba,veeba tomato ketchup no added sugar,460g,
2701,"del monte|del monte tomato ketchup|300g",del monte,del monte tomato ketchup,300g,
2702,"veeba|veeba tomato ketchup no added preservatives|1000g",veeba,veeba tomato ketchup no added preservatives,1000g,
2703,"ching's secret|ching s secret schezwan tomato sauce ketchup|485g",ching's secret,ching s secret schezwan tomato sauce ketchup,485g,
2704,"unbranded|tomato local|500g",unbranded,tomato local,500g,Fruits & Vegetables
2705,"unbranded|tomato hybrid|500g",unbranded,tomato hybrid,500g,Fruits & Vegetables
2706,"unbranded|tomato local|250g",unbranded,tomato local,250g,Fruits & Vegetables
2707,"unbranded|organically grown tomato local|500g",unbranded,organically grown tomato local,500g,Fruits & Vegetables
2708,"unbranded|organically grown tomato hybrid|500g",unbranded,organically grown tomato hybrid,500g,Fruits & Vegetables
2709,"unbranded|cherry tomato|200g",unbranded,cherry tomato,200g,Fruits & Vegetables
2710,"|fresh onion pyaaj|1000g",,fresh onion pyaaj,1000g,
2711,"makhanawala's|makhanawala s cream onion makhana|28g",makhanawala's,makhanawala s cream onion makhana,28g,
2712,"garden|garden onion pakoda namkeen chakli|140g",garden,garden onion pakoda namkeen chakli,140g,
2713,"|spring onion hari pyaz|0g",,spring onion hari pyaz,0g,
2714,"fresho!|onion local economy|1000g",fresho!,onion local economy,1000g,Fruits & Vegetables
2715,"fresho!|onion|1000g",fresho!,onion,1000g,Fruits & Vegetables
2716,"fresho!|onion|500g",fresho!,onion,500g,Fruits & Vegetables
2717,"fresho!|onion|2000g",fresho!,onion,2000g,Fruits & Vegetables
2718,"fresho!|onion|5000g",fresho!,onion,5000g,Fruits & Vegetables
2719,"fresho!|onion organically grown|1000g",fresho!,onion organically grown,1000g,Fruits & Vegetables
2720,"fresho!|onion sambhar|1000g",fresho!,onion sambhar,1000g,Fruits & Vegetables
2721,"fresho!|onion sambhar|250g",fresho!,onion sambhar,250g,Fruits & Vegetables
2722,"fresho!|onion sambhar|500g",fresho!,onion sambhar,500g,Fruits & Vegetables
2723,"fresho!|spring onion roots|1pc",fresho!,spring onion roots,1pc,Fruits & Vegetables
2724,"fresho!|sambar onion peeled small onion|200g",fresho!,sambar onion peeled small onion,200g,Fruits & Vegetables
2725,"fresho!|sambar onion organically grown|250g",fresho!,sambar onion organically grown,250g,Fruits & Vegetables
2726,"fresho!|red onion skinned peeled small|1000g",fresho!,red onion skinned peeled small,1000g,Fruits & Vegetables
2727,"fresho!|spring onion|1000g",fresho!,spring onion,1000g,Fruits & Vegetables
2728,"fresho!|spring onion|250g",fresho!,spring onion,250g,Fruits & Vegetables
2729,"fresho!|spring onion|500g",fresho!,spring onion,500g,Fruits & Vegetables
2730,"fresho!|onion white|1000g",fresho!,onion white,1000g,Fruits & Vegetables
2731,"fresho!|spring onion direct|100g",fresho!,spring onion direct,100g,Fruits & Vegetables
2732,"fresho!|spring onion organically grown|250g",fresho!,spring onion organically grown,250g,Fruits & Vegetables
2733,"fresho!|baby onion sirka pyaaz|1000g",fresho!,baby onion sirka pyaaz,1000g,Fruits & Vegetables
2734,"fresho!|baby onion sirka pyaaz|500g",fresho!,baby onion sirka pyaaz,500g,Fruits & Vegetables
2735,"fresho!|onion white|500g",fresho!,onion white,500g,Fruits & Vegetables
2736,"fresho!|onion local sukh sagar|1000g",fresho!,onion local sukh sagar,1000g,Fruits & Vegetables
2737,"fresho!|local onion sukh sagar|2000g",fresho!,local onion sukh sagar,2000g,Fruits & Vegetables
2738,"fresho!|onion local sukh sagar|5000g",fresho!,onion local sukh sagar,5000g,Fruits & Vegetables
2739,"fresho!|onion flower peyajkoli|1000g",fresho!,onion flower peyajkoli,1000g,Fruits & Vegetables
2740,"fresho!|onion flower peyajkoli|1pc",fresho!,onion flower peyajkoli,1pc,Fruits & Vegetables
2741,"fresho!|onion white|250g",fresho!,onion white,250g,Fruits & Vegetables
2742,"fresho!|onion alibag white|1bunch",fresho!,onion alibag white,1bunch,Fruits & Vegetables
2743,"fresho!|onion organically grown|5000g",fresho!,onion organically grown,5000g,Fruits & Vegetables
2744,"|sweet potato ratala|500g",,sweet potato ratala,500g,
2745,"motas|motas potato chips|200g",motas,motas potato chips,200g,
2746,"|fresh potato aloo|2000g",,fresh potato aloo,2000g,
2747,"|captain punch potato aloo|1000g",,captain punch potato aloo,1000g,
2748,"fresho!|potato|1000g",fresho!,potato,1000g,Fruits & Vegetables
2749,"fresho!|potato organically grown|1000g",fresho!,potato organically grown,1000g,Fruits & Vegetables
