id,fingerprint,brand_name,product_name,quantity,category
1,"milky mist|milky mist curd|1000g",milky mist,milky mist curd,1000g,
2,"epigamia|epigamia milkshake vanilla|180ml",epigamia,epigamia milkshake vanilla,180ml,
3,"nestle milkmaid mini|nestle milkmaid mini|190g",nestle milkmaid mini,nestle milkmaid mini,190g,
4,"milky mist|milky mist ghee 1 l|910g",milky mist,milky mist ghee 1 l,910g,
5,"nandini|pasteurised toned milk|1000ml",nandini,pasteurised toned milk,1000ml,"Bakery, Cakes & Dairy"
6,"nandini|pasteurised toned milk|500ml",nandini,pasteurised toned milk,500ml,"Bakery, Cakes & Dairy"
7,"nandini|shubham milk|1000ml",nandini,shubham milk,1000ml,"Bakery, Cakes & Dairy"
8,"nandini|shubham milk|500ml",nandini,shubham milk,500ml,"Bakery, Cakes & Dairy"
9,"heritage|daily health toned milk|500ml",heritage,daily health toned milk,500ml,"Bakery, Cakes & Dairy"
10,"amul|gold|1000ml",amul,gold,1000ml,"Bakery, Cakes & Dairy"
11,"amul|gold full cream milk|500ml",amul,gold full cream milk,500ml,"Bakery, Cakes & Dairy"
12,"nandini|homogenised pasteurised cow s pure milk|500ml",nandini,homogenised pasteurised cow s pure milk,500ml,"Bakery, Cakes & Dairy"
13,"amul|taaza milk|1000ml",amul,taaza milk,1000ml,"Bakery, Cakes & Dairy"
14,"amul|taaza milk|500ml",amul,taaza milk,500ml,"Bakery, Cakes & Dairy"
15,"akshayakalpa organic|cow milk pasteurized|500ml",akshayakalpa organic,cow milk pasteurized,500ml,"Bakery, Cakes & Dairy"
16,"heritage|full cream milk|500ml",heritage,full cream milk,500ml,"Bakery, Cakes & Dairy"
17,"akshayakalpa|organic cow milk|500ml",akshayakalpa,organic cow milk,500ml,"Bakery, Cakes & Dairy"
18,"akshayakalpa|amrutha a2 farm fresh milk organic|500ml",akshayakalpa,amrutha a2 farm fresh milk organic,500ml,"Bakery, Cakes & Dairy"
19,"akshayakalpa|amrutha a2 pasteurised milk organic|500ml",akshayakalpa,amrutha a2 pasteurised milk organic,500ml,"Bakery, Cakes & Dairy"
20,"arokya|full cream milk|500ml",arokya,full cream milk,500ml,"Bakery, Cakes & Dairy"
21,"arokya|toned milk|500ml",arokya,toned milk,500ml,"Bakery, Cakes & Dairy"
22,"sids farm|natural cow milk|500ml",sids farm,natural cow milk,500ml,"Bakery, Cakes & Dairy"
23,"nandini|samrudhi milk|500ml",nandini,samrudhi milk,500ml,"Bakery, Cakes & Dairy"
24,"arokya|standardised milk|500ml",arokya,standardised milk,500ml,"Bakery, Cakes & Dairy"
25,"sids farm|a2 buffalo milk natural no preservatives antibiotics|500ml",sids farm,a2 buffalo milk natural no preservatives antibiotics,500ml,"Bakery, Cakes & Dairy"
26,"mother dairy|full cream milk fcm|1000ml",mother dairy,full cream milk fcm,1000ml,"Bakery, Cakes & Dairy"
27,"mother dairy|full cream milk|500ml",mother dairy,full cream milk,500ml,"Bakery, Cakes & Dairy"
28,"sids farm|skim milk|500ml",sids farm,skim milk,500ml,"Bakery, Cakes & Dairy"
29,"namaste india|pasteurised full cream milk|500ml",namaste india,pasteurised full cream milk,500ml,"Bakery, Cakes & Dairy"
30,"aavin|pasteurised full cream milk|500ml",aavin,pasteurised full cream milk,500ml,"Bakery, Cakes & Dairy"
31,"sangam|gold plus pasteurised full cream milk|500ml",sangam,gold plus pasteurised full cream milk,500ml,"Bakery, Cakes & Dairy"
32,"visakha milk|pasteurised full cream milk|500ml",visakha milk,pasteurised full cream milk,500ml,"Bakery, Cakes & Dairy"
33,"dodla|full cream milk|500ml",dodla,full cream milk,500ml,"Bakery, Cakes & Dairy"
34,"nandini|special toned milk|500ml",nandini,special toned milk,500ml,"Bakery, Cakes & Dairy"
35,"chitale|full cream milk|500ml",chitale,full cream milk,500ml,"Bakery, Cakes & Dairy"
36,"verka|full cream milk red|1000ml",verka,full cream milk red,1000ml,"Bakery, Cakes & Dairy"
37,"verka|full cream milk red|500ml",verka,full cream milk red,500ml,"Bakery, Cakes & Dairy"
38,"warana|full cream milk|500ml",warana,full cream milk,500ml,"Bakery, Cakes & Dairy"
39,"krishna milk union vijaya|gold milk pasteurised full cream|500ml",krishna milk union vijaya,gold milk pasteurised full cream,500ml,"Bakery, Cakes & Dairy"
40,"vijaya|special milk pasteurised full cream|500ml",vijaya,special milk pasteurised full cream,500ml,"Bakery, Cakes & Dairy"
41,"sanchi|full cream milk sanchi gold pasteurised|1000ml",sanchi,full cream milk sanchi gold pasteurised,1000ml,"Bakery, Cakes & Dairy"
42,"sanchi|full cream milk sanchi gold pasteurized|500ml",sanchi,full cream milk sanchi gold pasteurized,500ml,"Bakery, Cakes & Dairy"
43,"thirumala|full cream milk|500ml",thirumala,full cream milk,500ml,"Bakery, Cakes & Dairy"
44,"godrej jersey|rich full cream milk|500ml",godrej jersey,rich full cream milk,500ml,"Bakery, Cakes & Dairy"
45,"thirumala|toned milk|500ml",thirumala,toned milk,500ml,"Bakery, Cakes & Dairy"
46,"thirumala|standardised milk|500ml",thirumala,standardised milk,500ml,"Bakery, Cakes & Dairy"
47,"amul|slim n trim|200ml",amul,slim n trim,200ml,"Bakery, Cakes & Dairy"
48,"mother dairy|cow milk|1000ml",mother dairy,cow milk,1000ml,"Bakery, Cakes & Dairy"
49,"mother dairy|cow milk|500ml",mother dairy,cow milk,500ml,"Bakery, Cakes & Dairy"
50,"aavin|nice pasteurised toned milk|500ml",aavin,nice pasteurised toned milk,500ml,"Bakery, Cakes & Dairy"
51,"farm finest|buffalo milk pasteurised full cream everyday consumption|1000ml",farm finest,buffalo milk pasteurised full cream everyday consumption,1000ml,"Bakery, Cakes & Dairy"
52,"nandini|nandini fresh toned fresh milk blue|1pack",nandini,nandini fresh toned fresh milk blue,1pack,"Dairy, Bread & Eggs"
53,"nandini|nandini standardised fresh milk orange|1pack",nandini,nandini standardised fresh milk orange,1pack,"Dairy, Bread & Eggs"
54,"nandini|nandini goodlife toned uht milk fino|1pack",nandini,nandini goodlife toned uht milk fino,1pack,"Dairy, Bread & Eggs"
55,"amul|amul gold full cream fresh milk|1pack",amul,amul gold full cream fresh milk,1pack,"Dairy, Bread & Eggs"
56,"heritage|heritage toned fresh milk|1pack",heritage,heritage toned fresh milk,1pack,"Dairy, Bread & Eggs"
57,"godrej jersey|godrej jersey toned milk|1pack",godrej jersey,godrej jersey toned milk,1pack,"Dairy, Bread & Eggs"
58,"arokya|arokya toned fresh milk|1pack",arokya,arokya toned fresh milk,1pack,"Dairy, Bread & Eggs"
59,"heritage|heritage full cream fresh milk|1pack",heritage,heritage full cream fresh milk,1pack,"Dairy, Bread & Eggs"
60,"heritage|heritage special long life toned milk|1pack",heritage,heritage special long life toned milk,1pack,"Dairy, Bread & Eggs"
61,"amul|amul taaza toned fresh milk|1pack",amul,amul taaza toned fresh milk,1pack,"Dairy, Bread & Eggs"
62,"akshayakalpa|akshayakalpa amrutha a2 pasteurized fresh organic milk|1pack",akshayakalpa,akshayakalpa amrutha a2 pasteurized fresh organic milk,1pack,"Dairy, Bread & Eggs"
63,"arokya|arokya standardized fresh milk|1pack",arokya,arokya standardized fresh milk,1pack,"Dairy, Bread & Eggs"
64,"akshayakalpa|akshayakalpa amrutha a2 farm fresh organic cow milk|1pack",akshayakalpa,akshayakalpa amrutha a2 farm fresh organic cow milk,1pack,"Dairy, Bread & Eggs"
65,"akshayakalpa|akshayakalpa organic pasteurized cow fresh milk|1pack",akshayakalpa,akshayakalpa organic pasteurized cow fresh milk,1pack,"Dairy, Bread & Eggs"
66,"amul|amul taaza homogenised toned milk tetra|1pack",amul,amul taaza homogenised toned milk tetra,1pack,"Dairy, Bread & Eggs"
67,"godrej jersey|godrej jersey full cream milk|1pack",godrej jersey,godrej jersey full cream milk,1pack,"Dairy, Bread & Eggs"
68,"amul|amul moti homogenised toned milk 90 days shelf life|1pack",amul,amul moti homogenised toned milk 90 days shelf life,1pack,"Dairy, Bread & Eggs"
69,"sid's farm|sids farm skim milk|1pack",sid's farm,sids farm skim milk,1pack,"Dairy, Bread & Eggs"
70,"nandini|nandini goodlife milk uht brik|1pack",nandini,nandini goodlife milk uht brik,1pack,"Dairy, Bread & Eggs"
71,"amul|amul lactose free milk tetra|1pack",amul,amul lactose free milk tetra,1pack,"Dairy, Bread & Eggs"
72,"sid's farm|sid s farm toned milk|1pc",sid's farm,sid s farm toned milk,1pc,"Dairy, Bread & Eggs"
73,"akshayakalpa|akshayakalpa organic farm fresh milk|1pc",akshayakalpa,akshayakalpa organic farm fresh milk,1pc,"Dairy, Bread & Eggs"
74,"amul|amul gold homogenised standardised milk tetra|1pack",amul,amul gold homogenised standardised milk tetra,1pack,"Dairy, Bread & Eggs"
75,"nandini|nandini goodlife slim skimmed milk uht tetra brik|1pack",nandini,nandini goodlife slim skimmed milk uht tetra brik,1pack,"Dairy, Bread & Eggs"
76,"amul|amul slim trim skimmed milk tetra|1pack",amul,amul slim trim skimmed milk tetra,1pack,"Dairy, Bread & Eggs"
77,"humpy farms|humpy farms a2 uht cow milk|1pack",humpy farms,humpy farms a2 uht cow milk,1pack,"Dairy, Bread & Eggs"
78,"akshayakalpa|akshayakalpa organic cow milk uht|1pack",akshayakalpa,akshayakalpa organic cow milk uht,1pack,"Dairy, Bread & Eggs"
79,"nandini|curd|500g",nandini,curd,500g,"Bakery, Cakes & Dairy"
80,"amul|curd creamy tasty|1000g",amul,curd creamy tasty,1000g,"Bakery, Cakes & Dairy"
81,"amul|curd creamy tasty|500g",amul,curd creamy tasty,500g,"Bakery, Cakes & Dairy"
82,"milky mist|curd|400g",milky mist,curd,400g,"Bakery, Cakes & Dairy"
83,"milky mist|curd dahi|500g",milky mist,curd dahi,500g,"Bakery, Cakes & Dairy"
84,"milky mist|farm fresh curd dahi|500g",milky mist,farm fresh curd dahi,500g,"Bakery, Cakes & Dairy"
85,"milky mist|curd|1000g",milky mist,curd,1000g,"Bakery, Cakes & Dairy"
86,"heritage|total curd|500g",heritage,total curd,500g,"Bakery, Cakes & Dairy"
87,"milky mist|curd dahi|2000g",milky mist,curd dahi,2000g,"Bakery, Cakes & Dairy"
88,"milky mist|farm fresh curd dahi|200g",milky mist,farm fresh curd dahi,200g,"Bakery, Cakes & Dairy"
89,"milky mist|farm fresh curd dahi|400g",milky mist,farm fresh curd dahi,400g,"Bakery, Cakes & Dairy"
90,"milky mist|farm fresh curd dahi|1000g",milky mist,farm fresh curd dahi,1000g,"Bakery, Cakes & Dairy"
91,"akshayakalpa|organic probiotic curd|500g",akshayakalpa,organic probiotic curd,500g,"Bakery, Cakes & Dairy"
92,"mother dairy|dahi made from toned milk|400g",mother dairy,dahi made from toned milk,400g,"Bakery, Cakes & Dairy"
93,"mother dairy|classic curd|200g",mother dairy,classic curd,200g,"Bakery, Cakes & Dairy"
94,"akshayakalpa|organic curd|200g",akshayakalpa,organic curd,200g,"Bakery, Cakes & Dairy"
95,"amul|masti dahi|1000g",amul,masti dahi,1000g,"Bakery, Cakes & Dairy"
96,"amul|masti curd|450g",amul,masti curd,450g,"Bakery, Cakes & Dairy"
97,"amul|masti dahi|390g",amul,masti dahi,390g,"Bakery, Cakes & Dairy"
98,"akshayakalpa|amrutha a2 organic curd|500g",akshayakalpa,amrutha a2 organic curd,500g,"Bakery, Cakes & Dairy"
99,"milky mist|probiotic curd|400g",milky mist,probiotic curd,400g,"Bakery, Cakes & Dairy"
100,"milky mist|probiotic curd|200g",milky mist,probiotic curd,200g,"Bakery, Cakes & Dairy"
101,"milky mist|probiotic curd|1000g",milky mist,probiotic curd,1000g,"Bakery, Cakes & Dairy"
102,"heritage|total curd|400g",heritage,total curd,400g,"Bakery, Cakes & Dairy"
103,"heritage|total curd|200g",heritage,total curd,200g,"Bakery, Cakes & Dairy"
104,"heritage|premium curd|200g",heritage,premium curd,200g,"Bakery, Cakes & Dairy"
105,"heritage|total curd|1000g",heritage,total curd,1000g,"Bakery, Cakes & Dairy"
106,"akshayakalpa|artisanal organic curd|1000g",akshayakalpa,artisanal organic curd,1000g,"Bakery, Cakes & Dairy"
107,"akshayakalpa|organic artisanal curd|400g",akshayakalpa,organic artisanal curd,400g,"Bakery, Cakes & Dairy"
108,"akshayakalpa|curd artisanal organic|200g",akshayakalpa,curd artisanal organic,200g,"Bakery, Cakes & Dairy"
109,"hatsun|curd|500g",hatsun,curd,500g,"Bakery, Cakes & Dairy"
110,"mother dairy|mishti doi|400g",mother dairy,mishti doi,400g,"Bakery, Cakes & Dairy"
111,"mother dairy|misti doi|85g",mother dairy,misti doi,85g,"Bakery, Cakes & Dairy"
112,"mother dairy|mishti doi|80g",mother dairy,mishti doi,80g,"Bakery, Cakes & Dairy"
113,"sids farm|curd|450g",sids farm,curd,450g,"Bakery, Cakes & Dairy"
114,"nestle a+|dahi|380g",nestle a+,dahi,380g,"Bakery, Cakes & Dairy"
115,"nestle a+|dahi|180g",nestle a+,dahi,180g,"Bakery, Cakes & Dairy"
116,"hatsun|cup curd|200g",hatsun,cup curd,200g,"Bakery, Cakes & Dairy"
117,"thirumala|curd|500ml",thirumala,curd,500ml,"Bakery, Cakes & Dairy"
118,"amul|high protein probiotic dahi|400g",amul,high protein probiotic dahi,400g,"Bakery, Cakes & Dairy"
119,"hatsun|curd|1000g",hatsun,curd,1000g,"Bakery, Cakes & Dairy"
120,"organic mandya|desi a2 curd|500g",organic mandya,desi a2 curd,500g,"Bakery, Cakes & Dairy"
121,"country delight|ghar jaisa dahi|400g",country delight,ghar jaisa dahi,400g,"Bakery, Cakes & Dairy"
122,"heritage|creamilicious curd|1000ml",heritage,creamilicious curd,1000ml,"Bakery, Cakes & Dairy"
123,"hatsun|curd|400g",hatsun,curd,400g,"Bakery, Cakes & Dairy"
124,"mother dairy|curd|460g",mother dairy,curd,460g,"Bakery, Cakes & Dairy"
125,"mother dairy|curd|130g",mother dairy,curd,130g,"Bakery, Cakes & Dairy"
126,"mother dairy|curd|400g",mother dairy,curd,400g,"Bakery, Cakes & Dairy"
127,"amul|masti dahi|2000g",amul,masti dahi,2000g,"Bakery, Cakes & Dairy"
128,"amul|masti dahi|85g",amul,masti dahi,85g,"Bakery, Cakes & Dairy"
129,"amul|masti dahi|200g",amul,masti dahi,200g,"Bakery, Cakes & Dairy"
130,"amul|masti dahi|400g",amul,masti dahi,400g,"Bakery, Cakes & Dairy"
131,"mother dairy|classic dahi|1000g",mother dairy,classic dahi,1000g,"Bakery, Cakes & Dairy"
132,"mother dairy|classic dahi|390g",mother dairy,classic dahi,390g,"Bakery, Cakes & Dairy"
133,"sids farm|probiotic curd|400g",sids farm,probiotic curd,400g,"Bakery, Cakes & Dairy"
134,"milky mist|mishti doi|200g",milky mist,mishti doi,200g,"Bakery, Cakes & Dairy"
135,"milky mist|mishti doi|100g",milky mist,mishti doi,100g,"Bakery, Cakes & Dairy"
136,"alepa farm|low fat curd organic|500ml",alepa farm,low fat curd organic,500ml,"Bakery, Cakes & Dairy"
137,"nestle a+|slim dahi|380g",nestle a+,slim dahi,380g,"Bakery, Cakes & Dairy"
138,"sids farm|cow curd pure no hormones rich in calcium protein|400g",sids farm,cow curd pure no hormones rich in calcium protein,400g,"Bakery, Cakes & Dairy"
139,"mother dairy|curd|1000g",mother dairy,curd,1000g,"Bakery, Cakes & Dairy"
140,"farm connect|organic curd thick|250g",farm connect,organic curd thick,250g,"Bakery, Cakes & Dairy"
141,"one good|peanut curd|450g",one good,peanut curd,450g,"Bakery, Cakes & Dairy"
142,"sids farm|buffalo curd pure no hormones rich in calcium protein|400g",sids farm,buffalo curd pure no hormones rich in calcium protein,400g,"Bakery, Cakes & Dairy"
143,"nestle a+|actiplus dahi probiotics|380g",nestle a+,actiplus dahi probiotics,380g,"Bakery, Cakes & Dairy"
144,"pride of cows|pride cows cup curd|320g",pride of cows,pride cows cup curd,320g,
145,"mother dairy|mother dairy classic curd|390g",mother dairy,mother dairy classic curd,390g,
146,"amul|amul masti curd|390g",amul,amul masti curd,390g,
147,"mother dairy|mother dairy classic curd|1000g",mother dairy,mother dairy classic curd,1000g,
148,"country delight|country delight ghar jaisa cup curd|400g",country delight,country delight ghar jaisa cup curd,400g,
149,"mother dairy|mother dairy classic cup curd|400g",mother dairy,mother dairy classic cup curd,400g,
150,"amul|amul masti cup curd|200g",amul,amul masti cup curd,200g,
151,"amul|amul masti curd|1000g",amul,amul masti curd,1000g,
152,"country delight|country delight low fat curd|400g",country delight,country delight low fat curd,400g,
153,"mother dairy|mother dairy nutrifit probiotic cup curd|200g",mother dairy,mother dairy nutrifit probiotic cup curd,200g,
154,"mother dairy|mother dairy ultimate cup curd|400g",mother dairy,mother dairy ultimate cup curd,400g,
155,"nestle|nestle a actiplus dahi low fat cup curd probiotics|380g",nestle,nestle a actiplus dahi low fat cup curd probiotics,380g,
156,"frubon|frubon pasteurized double toned curd|1000g",frubon,frubon pasteurized double toned curd,1000g,
157,"amul|amul masti cup curd tub|1000g",amul,amul masti cup curd tub,1000g,
158,"amul|amul masti cup cup curd|400g",amul,amul masti cup cup curd,400g,
159,"amul|amul curd|800g",amul,amul curd,800g,
160,"frubon|frubon premium cup curd|1000g",frubon,frubon premium cup curd,1000g,
161,"nestle a+|nestle a dahi thick creamy cup curd|180g",nestle a+,nestle a dahi thick creamy cup curd,180g,
162,"nestle|nestle a slim dahi low fat cup curd|380g",nestle,nestle a slim dahi low fat cup curd,380g,
163,"amul|amul probiotic high protein cup curd|400g",amul,amul probiotic high protein cup curd,400g,
164,"whyte farms|whyte farms fresh artisanal cup curd|300g",whyte farms,whyte farms fresh artisanal cup curd,300g,
165,"nestle|nestle a cup curd bhuna jeera|185g",nestle,nestle a cup curd bhuna jeera,185g,
166,"epigamia|epigamia lactose free cup curd|400g",epigamia,epigamia lactose free cup curd,400g,
167,"frubon|frubon premium cup curd|400g",frubon,frubon premium cup curd,400g,
168,"mother dairy|mother dairy mishti doi|80g",mother dairy,mother dairy mishti doi,80g,
169,"epigamia|epigamia mishti doi|80g",epigamia,epigamia mishti doi,80g,
170,"gits|gits dahi vada instant mix|200g",gits,gits dahi vada instant mix,200g,
171,"frubon|frubon mishti doi|100g",frubon,frubon mishti doi,100g,
172,"epigamia|epigamia natural greek yogurt 400 g|400g",epigamia,epigamia natural greek yogurt 400 g,400g,
173,"epigamia|epigamia natural greek yogurt 85 g|85g",epigamia,epigamia natural greek yogurt 85 g,85g,
174,"agapi|agapi natural greek yogurt|100g",agapi,agapi natural greek yogurt,100g,
175,"mother dairy|mother dairy blueberry flavoured yogurt|100g",mother dairy,mother dairy blueberry flavoured yogurt,100g,
176,"mother dairy|mother dairy mango flavoured yogurt|100g",mother dairy,mother dairy mango flavoured yogurt,100g,
177,"epigamia|epigamia blueberry flavoured yogurt|85g",epigamia,epigamia blueberry flavoured yogurt,85g,
178,"epigamia|epigamia alphonso mango flavoured greek yogurt|85g",epigamia,epigamia alphonso mango flavoured greek yogurt,85g,
179,"epigamia|epigamia mixed berries flavoured greek yogurt|85g",epigamia,epigamia mixed berries flavoured greek yogurt,85g,
180,"agapi|agapi blueberry protein yogurt|100g",agapi,agapi blueberry protein yogurt,100g,
181,"epigamia|epigamia strawberry flavoured yogurt|85g",epigamia,epigamia strawberry flavoured yogurt,85g,
182,"epigamia|epigamia turbo mixed berries flavoured protein yogurt|140g",epigamia,epigamia turbo mixed berries flavoured protein yogurt,140g,
183,"epigamia|epigamia wild raspberry flavoured yogurt|85g",epigamia,epigamia wild raspberry flavoured yogurt,85g,
184,"epigamia|epigamia strawberry flavoured greek yogurt|85g",epigamia,epigamia strawberry flavoured greek yogurt,85g,
185,"nestle a+|nestle a greek yogurt unsweetened low fat|90g",nestle a+,nestle a greek yogurt unsweetened low fat,90g,
186,"agapi|agapi mango protein yogurt|100g",agapi,agapi mango protein yogurt,100g,
187,"nestle a+|nestle a strawberry flavoured yogurt probiotics|80g",nestle a+,nestle a strawberry flavoured yogurt probiotics,80g,
188,"epigamia|epigamia turbo strawberry protein yogurt|140g",epigamia,epigamia turbo strawberry protein yogurt,140g,
189,"epigamia|epigamia vanilla bean flavoured greek yogurt|85g",epigamia,epigamia vanilla bean flavoured greek yogurt,85g,
190,"milky mist|milky mist blueberry flavoured yogurt|100g",milky mist,milky mist blueberry flavoured yogurt,100g,
191,"milky mist|milky mist strawberry flavoured yogurt|100g",milky mist,milky mist strawberry flavoured yogurt,100g,
192,"amul|amul kesar shrikhand|100g",amul,amul kesar shrikhand,100g,
193,"agapi|agapi strawberry protein yogurt|100g",agapi,agapi strawberry protein yogurt,100g,
194,"epigamia|epigamia strawberry smoothie greek yogurt drink|180ml",epigamia,epigamia strawberry smoothie greek yogurt drink,180ml,
195,"milky mist|milky mist mango flavoured yogurt|100g",milky mist,milky mist mango flavoured yogurt,100g,
196,"epigamia|epigamia alphonso mango flavoured yogurt|75g",epigamia,epigamia alphonso mango flavoured yogurt,75g,
197,"amul|amul real mango amrakhand|500g",amul,amul real mango amrakhand,500g,
198,"amul|amul kesar shrikhand|500g",amul,amul kesar shrikhand,500g,
199,"amul|amul stirred fruit mango flavoured yogurt|100g",amul,amul stirred fruit mango flavoured yogurt,100g,
200,"amul|amul badam pista shrikhand|500g",amul,amul badam pista shrikhand,500g,
201,"epigamia|epigamia everyday lychee flavoured yogurt|75g",epigamia,epigamia everyday lychee flavoured yogurt,75g,
202,"epigamia|epigamia everyday mango flavoured yogurt|75g",epigamia,epigamia everyday mango flavoured yogurt,75g,
203,"nestle a+|nestle a greek yoghurt mahabaleshwar strawberries|90g",nestle a+,nestle a greek yoghurt mahabaleshwar strawberries,90g,
204,"epigamia|epigamia blueberry greek yogurt drink|180ml",epigamia,epigamia blueberry greek yogurt drink,180ml,
205,"amul|amul elaichi shrikhand|500g",amul,amul elaichi shrikhand,500g,
206,"amul|amul mango shrikhand|500g",amul,amul mango shrikhand,500g,
207,"amul|amul elaichi shrikhand|100g",amul,amul elaichi shrikhand,100g,
208,"amul|amul taaza toned milk|500ml",amul,amul taaza toned milk,500ml,
209,"mother dairy|mother dairy toned milk|500ml",mother dairy,mother dairy toned milk,500ml,
210,"mother dairy|mother dairy cow milk|500ml",mother dairy,mother dairy cow milk,500ml,
211,"amul|amul cow milk|500ml",amul,amul cow milk,500ml,
212,"amul|amul taaza homogenised toned milk|1000ml",amul,amul taaza homogenised toned milk,1000ml,
213,"mother dairy|mother dairy full cream milk|500ml",mother dairy,mother dairy full cream milk,500ml,
214,"amul|amul lactose free milk|250ml",amul,amul lactose free milk,250ml,
215,"mother dairy|mother dairy toned toned milk|1000ml",mother dairy,mother dairy toned toned milk,1000ml,
216,"country delight|country delight cow fresh milk|450ml",country delight,country delight cow fresh milk,450ml,
217,"amul|amul moti toned milk 90 days shelf life|450ml",amul,amul moti toned milk 90 days shelf life,450ml,
218,"amul|amul gir cow a2 milk|1000ml",amul,amul gir cow a2 milk,1000ml,
219,"amul|amul gold milk|1000ml",amul,amul gold milk,1000ml,
220,"country delight|country delight buffalo fresh milk|450ml",country delight,country delight buffalo fresh milk,450ml,
221,"mother dairy|mother dairy fit life homogenized double toned milk 450 ml|450ml",mother dairy,mother dairy fit life homogenized double toned milk 450 ml,450ml,
222,"amul|amul taaza toned milk|200ml",amul,amul taaza toned milk,200ml,
223,"humpy farms|humpy farms cow a2 milk|500ml",humpy farms,humpy farms cow a2 milk,500ml,
224,"nestle a+|nestle a slim skimmed milk|1000ml",nestle a+,nestle a slim skimmed milk,1000ml,
225,"amul|amul slim n trim skimmed milk zero cholesterol|1000ml",amul,amul slim n trim skimmed milk zero cholesterol,1000ml,
226,"nestle a+|nestle a toned milk|1000ml",nestle a+,nestle a toned milk,1000ml,
227,"mother dairy|mother dairy pro milk|500ml",mother dairy,mother dairy pro milk,500ml,
228,"mother dairy|mother dairy fit life homogenized double toned milk|115ml",mother dairy,mother dairy fit life homogenized double toned milk,115ml,
229,"humpy farms|humpy farms a2 uht milk 90 days shelf life|450ml",humpy farms,humpy farms a2 uht milk 90 days shelf life,450ml,
230,"amul|amul cow milk|1000ml",amul,amul cow milk,1000ml,
231,"amul|amul buffalo milk 90 days shelf life|450ml",amul,amul buffalo milk 90 days shelf life,450ml,
232,"amul|amul buffalo a2 milk|1000ml",amul,amul buffalo a2 milk,1000ml,
233,"amul|amul calci milk|250ml",amul,amul calci milk,250ml,
234,"amul|amul camel milk|200ml",amul,amul camel milk,200ml,
235,"amulspray|amulspray ready to feed infant formula|250ml",amulspray,amulspray ready to feed infant formula,250ml,
236,"mother dairy|mother dairy probiotic tadka salted buttermilk|270ml",mother dairy,mother dairy probiotic tadka salted buttermilk,270ml,
237,"mother dairy|mother dairy probiotic premium unsalted buttermilk|425ml",mother dairy,mother dairy probiotic premium unsalted buttermilk,425ml,
238,"amul|amul masti spiced salted buttermilk|200ml",amul,amul masti spiced salted buttermilk,200ml,
239,"amul|amul probiotic tadka salted buttermilk|270ml",amul,amul probiotic tadka salted buttermilk,270ml,
240,"mother dairy|mother dairy spiced salted buttermilk|180ml",mother dairy,mother dairy spiced salted buttermilk,180ml,
241,"amul|amul prolife probiotic unsalted buttermilk|500ml",amul,amul prolife probiotic unsalted buttermilk,500ml,
242,"amul|amul premium spiced salted buttermilk|200ml",amul,amul premium spiced salted buttermilk,200ml,
243,"frubon|frubon matka unsalted buttermilk|450g",frubon,frubon matka unsalted buttermilk,450g,
244,"frubon|frubon masala salted buttermilk|270ml",frubon,frubon masala salted buttermilk,270ml,
245,"cavin's|cavin s masala chaas salted buttermilk|180ml",cavin's,cavin s masala chaas salted buttermilk,180ml,
246,"amul|amul sweet lassi tetra 250 ml|250ml",amul,amul sweet lassi tetra 250 ml,250ml,
247,"mother dairy|mother dairy sweet lassi|180ml",mother dairy,mother dairy sweet lassi,180ml,
248,"amul|amul sweet lassi|200ml",amul,amul sweet lassi,200ml,
249,"britannia|britannia winkin cow mango lassi 2|180ml",britannia,britannia winkin cow mango lassi 2,180ml,
250,"amul|amul sugar free sweet lassi|180ml",amul,amul sugar free sweet lassi,180ml,
251,"amul|amul sweet lassi 1 l|1000ml",amul,amul sweet lassi 1 l,1000ml,
252,"amul|amul rose lassi|200ml",amul,amul rose lassi,200ml,
253,"smoodh|smoodh sweet lassi|180ml",smoodh,smoodh sweet lassi,180ml,
254,"mother dairy|mother dairy refreshing sweet lassi|180ml",mother dairy,mother dairy refreshing sweet lassi,180ml,
255,"amul|amul mango lassi|1000ml",amul,amul mango lassi,1000ml,
256,"britannia|britannia winkin cow classic sweet lassi|180ml",britannia,britannia winkin cow classic sweet lassi,180ml,
257,"cavin's|cavin s rose lassi|180ml",cavin's,cavin s rose lassi,180ml,
258,"mother dairy|mother dairy paneer|200g",mother dairy,mother dairy paneer,200g,
259,"amul|amul fresh malai paneer|200g",amul,amul fresh malai paneer,200g,
260,"country delight|country delight taaza paneer|180g",country delight,country delight taaza paneer,180g,
261,"ananda|ananda premium paneer|200g",ananda,ananda premium paneer,200g,
262,"mother dairy|mother dairy malai paneer|200g",mother dairy,mother dairy malai paneer,200g,
263,"mother dairy|mother dairy paneer family|400g",mother dairy,mother dairy paneer family,400g,
264,"|fresh malai paneer daily handcrafted|200g",,fresh malai paneer daily handcrafted,200g,
265,"frubon|frubon high protein low fat paneer|200g",frubon,frubon high protein low fat paneer,200g,
266,"rosier|rosier malai paneer|200g",rosier,rosier malai paneer,200g,
267,"whyte farms|whyte farms fresh paneer|200g",whyte farms,whyte farms fresh paneer,200g,
268,"country delight|country delight ghar jaisa dahi|1pc",country delight,country delight ghar jaisa dahi,1pc,"Dairy, Bread & Eggs"
269,"milky mist|milky mist mishti doi|1pc",milky mist,milky mist mishti doi,1pc,Sweet Cravings
270,"nandini|nandini thick curd|1pack",nandini,nandini thick curd,1pack,"Dairy, Bread & Eggs"
